StartPos,ObjectifPos,Piege1,Piege2,Piege3,Win,TryRemaining,Temps,ActNb,JumpsPos
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",True,3,15.648202657699585,15,"[(840.0, 505.0), (895.0, 425.0), (790.0, 410.0), (895.0, 360.0), (795.0, 335.0), (895.0, 320.0), (420.0, 375.0), (115.0, 375.0), (15.0, 505.0), (15.0, 490.0), (115.0, 420.0), (15.0, 345.0), (115.0, 265.0), (15.0, 195.0), (120.0, 115.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",False,0,28.803110122680664,31,"[(860.0, 505.0), (895.0, 405.0), (795.0, 330.0), (895.0, 250.0), (895.0, 450.0), (785.0, 410.0), (870.0, 505.0), (895.0, 410.0), (795.0, 360.0), (895.0, 320.0), (425.0, 375.0), (145.0, 375.0), (35.0, 310.0), (15.0, 375.0), (825.0, 505.0), (895.0, 410.0), (795.0, 355.0), (895.0, 320.0), (425.0, 375.0), (130.0, 375.0), (55.0, 275.0), (50.0, 280.0), (15.0, 315.0), (15.0, 505.0), (115.0, 435.0), (15.0, 370.0), (730.0, 505.0), (845.0, 505.0), (895.0, 410.0), (795.0, 350.0), (895.0, 310.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",False,0,14.5858473777771,14,"[(835.0, 505.0), (895.0, 420.0), (795.0, 365.0), (895.0, 315.0), (415.0, 375.0), (845.0, 505.0), (895.0, 415.0), (795.0, 360.0), (895.0, 315.0), (415.0, 375.0), (850.0, 505.0), (895.0, 410.0), (795.0, 345.0), (895.0, 305.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",False,0,20.830408573150635,15,"[(895.0, 505.0), (895.0, 405.0), (795.0, 325.0), (895.0, 280.0), (885.0, 505.0), (895.0, 405.0), (795.0, 365.0), (895.0, 325.0), (430.0, 365.0), (845.0, 505.0), (895.0, 410.0), (795.0, 365.0), (895.0, 320.0), (435.0, 350.0), (415.0, 375.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",False,0,25.50825333595276,21,"[(895.0, 505.0), (895.0, 410.0), (795.0, 350.0), (895.0, 315.0), (425.0, 375.0), (175.0, 375.0), (860.0, 505.0), (895.0, 410.0), (795.0, 370.0), (895.0, 345.0), (425.0, 375.0), (150.0, 375.0), (855.0, 505.0), (895.0, 410.0), (795.0, 375.0), (895.0, 350.0), (420.0, 375.0), (145.0, 375.0), (35.0, 310.0), (15.0, 375.0), (100.0, 280.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",False,0,26.408324241638184,24,"[(845.0, 505.0), (895.0, 410.0), (795.0, 340.0), (895.0, 300.0), (820.0, 505.0), (895.0, 415.0), (795.0, 350.0), (895.0, 315.0), (425.0, 375.0), (115.0, 375.0), (15.0, 505.0), (15.0, 420.0), (280.0, 375.0), (450.0, 375.0), (505.0, 350.0), (840.0, 505.0), (895.0, 405.0), (795.0, 335.0), (895.0, 320.0), (420.0, 375.0), (120.0, 375.0), (15.0, 300.0), (15.0, 360.0), (730.0, 505.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",False,0,20.943835735321045,19,"[(840.0, 505.0), (895.0, 405.0), (795.0, 340.0), (895.0, 310.0), (820.0, 505.0), (875.0, 410.0), (895.0, 415.0), (795.0, 355.0), (895.0, 325.0), (420.0, 375.0), (145.0, 375.0), (15.0, 350.0), (15.0, 465.0), (270.0, 375.0), (820.0, 505.0), (895.0, 410.0), (795.0, 350.0), (895.0, 325.0), (430.0, 365.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",False,0,22.288382530212402,24,"[(830.0, 505.0), (895.0, 405.0), (795.0, 340.0), (895.0, 315.0), (430.0, 365.0), (740.0, 505.0), (890.0, 505.0), (895.0, 410.0), (795.0, 340.0), (895.0, 340.0), (430.0, 365.0), (730.0, 505.0), (760.0, 505.0), (895.0, 505.0), (845.0, 415.0), (740.0, 505.0), (665.0, 495.0), (835.0, 505.0), (895.0, 410.0), (795.0, 335.0), (895.0, 335.0), (465.0, 285.0), (435.0, 350.0), (410.0, 375.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",False,0,18.422950267791748,19,"[(855.0, 505.0), (895.0, 410.0), (795.0, 330.0), (895.0, 300.0), (810.0, 505.0), (895.0, 415.0), (795.0, 350.0), (895.0, 320.0), (430.0, 365.0), (755.0, 505.0), (860.0, 430.0), (895.0, 505.0), (895.0, 410.0), (795.0, 340.0), (895.0, 320.0), (425.0, 375.0), (135.0, 375.0), (20.0, 315.0), (15.0, 370.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",False,0,14.875061273574829,17,"[(880.0, 505.0), (895.0, 410.0), (795.0, 350.0), (895.0, 305.0), (820.0, 505.0), (895.0, 410.0), (860.0, 335.0), (795.0, 340.0), (895.0, 315.0), (435.0, 350.0), (740.0, 505.0), (865.0, 465.0), (890.0, 505.0), (895.0, 450.0), (795.0, 375.0), (895.0, 335.0), (435.0, 350.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",False,0,14.802710056304932,19,"[(875.0, 505.0), (895.0, 420.0), (795.0, 350.0), (895.0, 310.0), (420.0, 375.0), (140.0, 375.0), (40.0, 295.0), (15.0, 335.0), (15.0, 385.0), (40.0, 325.0), (825.0, 505.0), (895.0, 405.0), (895.0, 430.0), (795.0, 350.0), (895.0, 295.0), (810.0, 505.0), (895.0, 425.0), (795.0, 350.0), (895.0, 295.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",False,0,35.13267636299133,37,"[(815.0, 505.0), (895.0, 420.0), (795.0, 355.0), (895.0, 320.0), (420.0, 375.0), (130.0, 375.0), (15.0, 315.0), (15.0, 450.0), (290.0, 375.0), (440.0, 375.0), (505.0, 305.0), (825.0, 505.0), (895.0, 410.0), (795.0, 335.0), (895.0, 340.0), (425.0, 375.0), (130.0, 375.0), (15.0, 315.0), (15.0, 355.0), (40.0, 300.0), (70.0, 265.0), (100.0, 260.0), (730.0, 505.0), (765.0, 505.0), (895.0, 505.0), (720.0, 505.0), (665.0, 410.0), (875.0, 505.0), (895.0, 405.0), (795.0, 340.0), (895.0, 345.0), (420.0, 375.0), (125.0, 375.0), (30.0, 290.0), (15.0, 335.0), (40.0, 275.0), (105.0, 240.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",True,1,27.634596586227417,29,"[(810.0, 505.0), (890.0, 410.0), (895.0, 450.0), (795.0, 405.0), (895.0, 340.0), (425.0, 375.0), (135.0, 375.0), (25.0, 310.0), (15.0, 355.0), (40.0, 300.0), (105.0, 265.0), (740.0, 505.0), (895.0, 505.0), (895.0, 410.0), (795.0, 340.0), (895.0, 325.0), (415.0, 375.0), (860.0, 505.0), (895.0, 410.0), (795.0, 345.0), (895.0, 340.0), (420.0, 375.0), (120.0, 375.0), (15.0, 315.0), (115.0, 275.0), (20.0, 190.0), (15.0, 245.0), (115.0, 175.0), (15.0, 125.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",True,2,19.63082504272461,17,"[(790.0, 505.0), (895.0, 445.0), (795.0, 405.0), (895.0, 345.0), (420.0, 375.0), (125.0, 375.0), (15.0, 310.0), (15.0, 365.0), (835.0, 505.0), (895.0, 410.0), (795.0, 340.0), (895.0, 335.0), (425.0, 375.0), (125.0, 375.0), (15.0, 315.0), (115.0, 275.0), (15.0, 200.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",False,0,11.95685625076294,15,"[(850.0, 505.0), (895.0, 410.0), (800.0, 320.0), (795.0, 370.0), (895.0, 320.0), (430.0, 365.0), (730.0, 505.0), (825.0, 505.0), (895.0, 410.0), (795.0, 340.0), (895.0, 300.0), (810.0, 505.0), (895.0, 420.0), (795.0, 345.0), (895.0, 305.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",True,3,15.648202657699585,15,"[(840.0, 505.0), (895.0, 425.0), (790.0, 410.0), (895.0, 360.0), (795.0, 335.0), (895.0, 320.0), (420.0, 375.0), (115.0, 375.0), (15.0, 505.0), (15.0, 490.0), (115.0, 420.0), (15.0, 345.0), (115.0, 265.0), (15.0, 195.0), (120.0, 115.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",False,0,25.75466799736023,24,"[(840.0, 505.0), (895.0, 435.0), (790.0, 410.0), (895.0, 345.0), (415.0, 375.0), (890.0, 505.0), (895.0, 430.0), (795.0, 375.0), (895.0, 340.0), (430.0, 365.0), (760.0, 505.0), (895.0, 505.0), (710.0, 505.0), (665.0, 495.0), (830.0, 505.0), (895.0, 415.0), (795.0, 360.0), (895.0, 340.0), (420.0, 375.0), (120.0, 375.0), (20.0, 295.0), (15.0, 335.0), (85.0, 235.0), (730.0, 505.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",True,3,9.094066619873047,10,"[(795.0, 505.0), (895.0, 425.0), (895.0, 480.0), (795.0, 400.0), (895.0, 345.0), (425.0, 375.0), (120.0, 375.0), (15.0, 310.0), (115.0, 235.0), (15.0, 155.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",True,2,16.335319995880127,14,"[(875.0, 505.0), (895.0, 415.0), (795.0, 360.0), (895.0, 325.0), (410.0, 375.0), (890.0, 505.0), (895.0, 410.0), (795.0, 370.0), (895.0, 335.0), (420.0, 375.0), (125.0, 375.0), (15.0, 315.0), (115.0, 275.0), (15.0, 210.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",True,3,10.423197746276855,9,"[(825.0, 505.0), (895.0, 420.0), (795.0, 370.0), (895.0, 340.0), (420.0, 375.0), (125.0, 375.0), (15.0, 315.0), (115.0, 235.0), (15.0, 160.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",True,3,9.39363145828247,10,"[(795.0, 505.0), (895.0, 425.0), (895.0, 480.0), (795.0, 400.0), (895.0, 345.0), (425.0, 375.0), (120.0, 375.0), (15.0, 310.0), (115.0, 235.0), (15.0, 155.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",True,1,25.694307327270508,29,"[(810.0, 505.0), (890.0, 410.0), (895.0, 450.0), (795.0, 405.0), (895.0, 340.0), (425.0, 375.0), (135.0, 375.0), (25.0, 310.0), (15.0, 355.0), (40.0, 300.0), (105.0, 265.0), (740.0, 505.0), (895.0, 505.0), (895.0, 410.0), (795.0, 340.0), (895.0, 325.0), (415.0, 375.0), (860.0, 505.0), (895.0, 410.0), (795.0, 345.0), (895.0, 340.0), (420.0, 375.0), (120.0, 375.0), (15.0, 315.0), (115.0, 275.0), (20.0, 190.0), (15.0, 245.0), (115.0, 175.0), (15.0, 125.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",True,3,9.62772274017334,10,"[(795.0, 505.0), (895.0, 425.0), (895.0, 480.0), (795.0, 400.0), (895.0, 345.0), (425.0, 375.0), (120.0, 375.0), (15.0, 310.0), (115.0, 235.0), (15.0, 155.0)]"
"(715.0, 490.0)","(195.0, 89.375)","(12, 2)","(5, 5)","(2, 4)",True,3,9.893898963928223,10,"[(795.0, 505.0), (895.0, 425.0), (895.0, 480.0), (795.0, 400.0), (895.0, 345.0), (425.0, 375.0), (120.0, 375.0), (15.0, 310.0), (115.0, 235.0), (15.0, 155.0)]"
